date,region,product,units_sold,unit_price,revenue
2024-01-05,North,Laptop,3,999.99,2999.97
2024-01-10,South,Mouse,15,29.99,449.85
2024-01-15,East,Keyboard,8,79.99,639.92
2024-01-20,West,Monitor,4,299.99,1199.96
2024-01-25,North,Mouse,20,29.99,599.80
2024-02-03,South,Laptop,2,999.99,1999.98
2024-02-07,East,Monitor,6,299.99,1799.94
2024-02-12,West,Keyboard,10,79.99,799.90
2024-02-18,North,Monitor,3,299.99,899.97
2024-02-22,South,Mouse,12,29.99,359.88
2024-03-01,East,Laptop,4,999.99,3999.96
2024-03-08,West,Mouse,18,29.99,539.82
2024-03-14,North,Keyboard,7,79.99,559.93
2024-03-19,South,Monitor,5,299.99,1499.95
2024-03-25,East,Laptop,2,999.99,1999.98
2024-04-02,West,Laptop,5,999.99,4999.95
2024-04-09,North,Mouse,14,29.99,419.86
2024-04-16,South,Keyboard,9,79.99,719.91
2024-04-22,East,Monitor,7,299.99,2099.93
2024-04-28,West,Laptop,1,999.99,999.99
2024-05-04,North,Monitor,8,299.99,2399.92
2024-05-11,South,Laptop,3,999.99,2999.97
2024-05-17,East,Mouse,16,29.99,479.84
2024-05-23,West,Keyboard,11,79.99,879.89
2024-05-30,North,Laptop,2,999.99,1999.98
2024-06-05,South,Monitor,4,299.99,1199.96
2024-06-12,East,Keyboard,6,79.99,479.94
2024-06-18,West,Mouse,22,29.99,659.78
2024-06-25,North,Monitor,5,299.99,1499.95
2024-06-30,South,Laptop,4,999.99,3999.96
2024-07-06,East,Mouse,10,29.99,299.90
2024-07-12,West,Monitor,6,299.99,1799.94
2024-07-19,North,Keyboard,8,79.99,639.92
2024-07-25,South,Laptop,2,999.99,1999.98
2024-07-31,East,Monitor,3,299.99,899.97
2024-08-07,West,Laptop,6,999.99,5999.94
2024-08-13,North,Mouse,17,29.99,509.83
2024-08-20,South,Keyboard,12,79.99,959.88
2024-08-26,East,Laptop,3,999.99,2999.97
2024-08-31,West,Mouse,9,29.99,269.91
2024-09-05,North,Monitor,7,299.99,2099.93
2024-09-12,South,Laptop,5,999.99,4999.95
2024-09-18,East,Keyboard,14,79.99,1119.86
2024-09-24,West,Monitor,4,299.99,1199.96
2024-09-30,North,Laptop,4,999.99,3999.96
2024-10-07,South,Mouse,20,29.99,599.80
2024-10-15,East,Monitor,8,299.99,2399.92
2024-10-22,West,Keyboard,6,79.99,479.94
2024-10-28,North,Laptop,5,999.99,4999.95
2024-11-04,South,Monitor,3,299.99,899.97
